0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:07:17 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:08:24 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:09:46 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:09:46 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:09:46 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:10:00 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:10:57 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:11:33 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:11:46 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 438
127.0.0.1 - - [20/Jun/2018:16:34:30 +0800] "GET /SpringBootDemo/static/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [20/Jun/2018:16:34:30 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 200 14
127.0.0.1 - - [20/Jun/2018:16:34:32 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
127.0.0.1 - - [20/Jun/2018:16:34:55 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:35:52 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:36:17 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:39:09 +0800] "GET /SpringBootDemo/main/index HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:39:28 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:39:50 +0800] "POST /SpringBootDemo/main/login HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:39:50 +0800] "GET /SpringBootDemo/static/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:51 +0800] "GET /SpringBootDemo/main/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:48:51 +0800] "GET /SpringBootDemo/login HTTP/1.1" 404 258
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:49:34 +0800] "GET /SpringBootDemo/main/msgget HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:49:34 +0800] "GET /SpringBootDemo/log2in HTTP/1.1" 404 259
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:49:59 +0800] "GET /SpringBootDemo/log2in HTTP/1.1" 404 259
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:50:03 +0800] "GET /SpringBootDemo/log2in HTTP/1.1" 404 259
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:50:08 +0800] "GET /SpringBootDemo/main/test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:16:50:08 +0800] "GET /SpringBootDemo/main/login HTTP/1.1" 200 597
